timestamp,water_depth,event_key,state
59.804,3.051,NONE,CLEAR
60.804,3.051,NONE,CLEAR
61.805,2.708,NONE,CLEAR
62.805,2.708,NONE,CLEAR
63.806,2.365,NONE,CLEAR
64.806,2.365,NONE,CLEAR
65.807,3.394,NONE,CLEAR
66.807,3.394,NONE,CLEAR
67.808,3.394,NONE,CLEAR
68.808,3.051,NONE,CLEAR
69.809,3.051,NONE,CLEAR
70.809,2.708,NONE,CLEAR
71.810,2.708,NONE,CLEAR
72.810,2.708,NONE,CLEAR
73.811,3.737,NONE,CLEAR
74.811,3.377,NONE,CLEAR
75.812,3.394,NONE,CLEAR
76.812,3.377,NONE,CLEAR
77.813,3.394,NONE,CLEAR
78.813,3.051,NONE,CLEAR
79.814,3.051,NONE,CLEAR
80.814,3.051,NONE,CLEAR
81.815,3.051,NONE,CLEAR
82.815,4.063,NONE,CLEAR
83.816,2.708,NONE,CLEAR
84.816,3.737,NONE,CLEAR
85.817,3.720,NONE,CLEAR
86.817,3.720,NONE,CLEAR
87.818,3.394,NONE,CLEAR
88.818,4.749,NONE,CLEAR
89.819,4.406,NONE,CLEAR
90.819,4.406,NONE,CLEAR
91.820,4.063,BLOCKAGE_INSERTED,BLOCKAGE
92.820,3.737,NONE,BLOCKAGE
93.821,3.737,NONE,BLOCKAGE
94.821,4.732,NONE,BLOCKAGE
95.822,4.732,NONE,BLOCKAGE
96.822,4.389,NONE,BLOCKAGE
97.823,4.389,NONE,BLOCKAGE
98.823,4.080,NONE,BLOCKAGE
99.824,4.046,NONE,BLOCKAGE
100.824,5.092,NONE,BLOCKAGE
101.825,5.109,NONE,BLOCKAGE
102.825,5.092,NONE,BLOCKAGE
103.826,4.749,NONE,BLOCKAGE
104.826,4.406,NONE,BLOCKAGE
105.827,4.406,NONE,BLOCKAGE
106.827,5.418,NONE,BLOCKAGE
107.828,5.418,NONE,BLOCKAGE
108.828,5.109,NONE,BLOCKAGE
109.829,5.109,NONE,BLOCKAGE
110.829,6.070,NONE,BLOCKAGE
111.830,4.732,NONE,BLOCKAGE
112.830,5.744,NONE,BLOCKAGE
113.831,4.389,NONE,BLOCKAGE
114.831,5.418,NONE,BLOCKAGE
115.832,5.418,NONE,BLOCKAGE
116.832,5.092,NONE,BLOCKAGE
117.833,5.092,NONE,BLOCKAGE
118.833,6.053,NONE,BLOCKAGE
119.834,4.732,NONE,BLOCKAGE
120.834,5.744,NONE,BLOCKAGE
121.835,5.744,NONE,BLOCKAGE
122.835,5.418,NONE,BLOCKAGE
123.836,6.396,NONE,BLOCKAGE
124.836,6.378,NONE,BLOCKAGE
125.837,6.396,NONE,BLOCKAGE
126.837,6.070,NONE,BLOCKAGE
127.838,6.070,NONE,BLOCKAGE
128.838,5.744,NONE,BLOCKAGE
129.839,6.070,NONE,BLOCKAGE
130.839,6.378,BLOCKAGE_REMOVED,CLEAR
131.840,5.744,NONE,CLEAR
132.840,5.744,NONE,CLEAR
133.841,4.732,NONE,CLEAR
134.841,5.744,NONE,CLEAR
135.842,5.744,NONE,CLEAR
136.842,5.744,NONE,CLEAR
137.843,5.418,NONE,CLEAR
138.843,6.396,NONE,CLEAR
139.844,6.378,NONE,CLEAR
140.844,6.378,NONE,CLEAR
141.845,6.396,NONE,CLEAR
142.845,6.070,NONE,CLEAR
143.846,6.053,NONE,CLEAR
144.846,6.070,NONE,CLEAR
145.847,5.744,NONE,CLEAR
146.847,5.744,NONE,CLEAR
