timestamp,water_depth,event_key,state
185.727,3.394,NONE,BLOCKAGE
186.727,3.051,NONE,BLOCKAGE
187.728,2.708,NONE,BLOCKAGE
188.728,3.737,NONE,BLOCKAGE
189.729,3.720,NONE,BLOCKAGE
190.729,3.394,NONE,BLOCKAGE
191.730,3.394,NONE,BLOCKAGE
192.730,3.051,NONE,BLOCKAGE
193.731,3.051,NONE,BLOCKAGE
194.731,4.080,NONE,BLOCKAGE
195.732,3.720,NONE,BLOCKAGE
196.732,3.720,NONE,BLOCKAGE
197.733,4.732,NONE,BLOCKAGE
198.733,3.394,NONE,BLOCKAGE
199.734,4.406,NONE,BLOCKAGE
200.734,4.080,NONE,BLOCKAGE
201.735,4.063,NONE,BLOCKAGE
202.735,3.737,NONE,BLOCKAGE
203.736,3.720,NONE,BLOCKAGE
204.736,4.732,NONE,BLOCKAGE
205.737,4.732,NONE,BLOCKAGE
206.737,4.423,NONE,BLOCKAGE
207.738,4.063,NONE,BLOCKAGE
208.738,4.063,NONE,BLOCKAGE
209.739,5.109,NONE,BLOCKAGE
210.739,5.092,NONE,BLOCKAGE
211.740,4.749,NONE,BLOCKAGE
212.740,4.749,NONE,BLOCKAGE
213.741,4.406,NONE,BLOCKAGE
214.741,4.406,NONE,BLOCKAGE
215.742,5.418,NONE,BLOCKAGE
216.742,5.418,NONE,BLOCKAGE
217.743,5.109,NONE,BLOCKAGE
218.743,5.092,NONE,BLOCKAGE
219.744,4.732,NONE,BLOCKAGE
220.744,4.749,NONE,BLOCKAGE
221.745,5.744,NONE,BLOCKAGE
222.745,5.418,NONE,BLOCKAGE
223.746,5.435,NONE,BLOCKAGE
224.746,6.396,NONE,BLOCKAGE
225.747,5.109,NONE,BLOCKAGE
226.747,6.070,NONE,BLOCKAGE
227.748,6.070,NONE,BLOCKAGE
228.748,5.744,NONE,BLOCKAGE
229.749,5.744,NONE,BLOCKAGE
230.749,5.744,NONE,BLOCKAGE
231.750,5.418,NONE,BLOCKAGE
232.750,6.378,NONE,BLOCKAGE
233.751,6.396,NONE,BLOCKAGE
234.751,6.053,NONE,BLOCKAGE
235.752,6.070,NONE,BLOCKAGE
236.752,5.744,NONE,BLOCKAGE
237.753,6.704,NONE,BLOCKAGE
238.753,6.704,NONE,BLOCKAGE
239.754,6.704,NONE,BLOCKAGE
240.754,6.396,NONE,BLOCKAGE
241.755,7.356,NONE,BLOCKAGE
242.755,6.070,NONE,BLOCKAGE
243.756,7.030,NONE,BLOCKAGE
244.756,7.030,NONE,BLOCKAGE
245.757,6.704,NONE,BLOCKAGE
246.757,6.704,NONE,BLOCKAGE
247.758,7.682,NONE,BLOCKAGE
248.758,6.396,NONE,BLOCKAGE
249.759,7.356,NONE,BLOCKAGE
250.759,7.339,NONE,BLOCKAGE
251.760,7.030,NONE,BLOCKAGE
252.760,7.030,NONE,BLOCKAGE
253.761,7.030,NONE,BLOCKAGE
254.761,6.704,NONE,BLOCKAGE
255.762,7.665,NONE,BLOCKAGE
256.762,7.682,NONE,BLOCKAGE
257.763,7.682,NONE,BLOCKAGE
258.763,7.339,NONE,BLOCKAGE
259.764,7.356,NONE,BLOCKAGE
260.764,7.030,NONE,BLOCKAGE
